Name,Category,Subcategory,Filename,Size (MB),Full Path
Adam LZ Secret Spot,Patreon Weekly,,Adam LZ Secret Spot.7z,355.6,Assetto Corsa/Tracks/Patreon Weekly/Adam LZ Secret Spot.7z
Drift Appalachia X10DD,Patreon Weekly,,Drift Appalachia X10DD.7z,233.9,Assetto Corsa/Tracks/Patreon Weekly/Drift Appalachia X10DD.7z
Lone Star Drift_Hutto Texas Drift Bash,Patreon Weekly,,Lone Star Drift_Hutto Texas Drift Bash.7z,293.0,Assetto Corsa/Tracks/Patreon Weekly/Lone Star Drift_Hutto Texas Drift Bash.7z
Shigemo Circuit,Patreon Weekly,,Shigemo Circuit.7z,70.5,Assetto Corsa/Tracks/Patreon Weekly/Shigemo Circuit.7z
X10DD_Even_Flow,Patreon Weekly,,X10DD_Even_Flow.7z,188.7,Assetto Corsa/Tracks/Patreon Weekly/X10DD_Even_Flow.7z
X10DD_Shigemo_Line_TANDEM,Patreon Weekly,,X10DD_Shigemo_Line_TANDEM.7z,118.6,Assetto Corsa/Tracks/Patreon Weekly/X10DD_Shigemo_Line_TANDEM.7z
"Lone Star Drift_Hutto,TX",RealSim HQ,,"Lone Star Drift_Hutto,TX.7z",302.1,"Assetto Corsa/Tracks/RealSim HQ/Lone Star Drift_Hutto,TX.7z"
Tail of The Dragon x2 HQ,RealSim HQ,,Tail of The Dragon x2 HQ.7z,865.7,Assetto Corsa/Tracks/RealSim HQ/Tail of The Dragon x2 HQ.7z
_Houston Police_HQ_,RealSim HQ,,_Houston Police_HQ_.7z,152.2,Assetto Corsa/Tracks/RealSim HQ/_Houston Police_HQ_.7z
_Pisgah_ HQ_,RealSim HQ,,_Pisgah_ HQ_.7z,150.3,Assetto Corsa/Tracks/RealSim HQ/_Pisgah_ HQ_.7z
_RealiSimHQ_Extended_Edition-Touge,RealSim HQ,,_RealiSimHQ_Extended_Edition-Touge.7z,230.6,Assetto Corsa/Tracks/RealSim HQ/_RealiSimHQ_Extended_Edition-Touge.7z
_RealiSimHQ_Extended_Editions,RealSim HQ,,_RealiSimHQ_Extended_Editions.7z,275.7,Assetto Corsa/Tracks/RealSim HQ/_RealiSimHQ_Extended_Editions.7z
_RealiSimHQ_Happogahara_Circuit,RealSim HQ,,_RealiSimHQ_Happogahara_Circuit.7z,126.2,Assetto Corsa/Tracks/RealSim HQ/_RealiSimHQ_Happogahara_Circuit.7z
_Shigemo Circuit HQ_,RealSim HQ,,_Shigemo Circuit HQ_.7z,113.2,Assetto Corsa/Tracks/RealSim HQ/_Shigemo Circuit HQ_.7z
_Shigemo Line_HQ_,RealSim HQ,,_Shigemo Line_HQ_.7z,71.1,Assetto Corsa/Tracks/RealSim HQ/_Shigemo Line_HQ_.7z
fd_soldier_field,X10DD Editions,ADL Tracks/Pro,fd_soldier_field.7z,182.2,Assetto Corsa/Tracks/X10DD Editions/ADL Tracks/Pro/fd_soldier_field.7z
ozarks_raceway,X10DD Editions,ADL Tracks/Pro,ozarks_raceway.zip,332.3,Assetto Corsa/Tracks/X10DD Editions/ADL Tracks/Pro/ozarks_raceway.zip
Brooklyn Park,X10DD Editions,Circuits,Brooklyn Park.7z,253.2,Assetto Corsa/Tracks/X10DD Editions/Circuits/Brooklyn Park.7z
Brooklyn Park X10DD,X10DD Editions,Circuits,Brooklyn Park X10DD.7z,259.6,Assetto Corsa/Tracks/X10DD Editions/Circuits/Brooklyn Park X10DD.7z
Docks,X10DD Editions,Circuits,Docks.7z,139.4,Assetto Corsa/Tracks/X10DD Editions/Circuits/Docks.7z
Kunitomi Circuit,X10DD Editions,Circuits,Kunitomi Circuit.7z,164.2,Assetto Corsa/Tracks/X10DD Editions/Circuits/Kunitomi Circuit.7z
Nikko Circuit 2024,X10DD Editions,Circuits,Nikko Circuit 2024.7z,564.5,Assetto Corsa/Tracks/X10DD Editions/Circuits/Nikko Circuit 2024.7z
Tamworth_Uk_Streets,X10DD Editions,Circuits,Tamworth_Uk_Streets.7z,175.9,Assetto Corsa/Tracks/X10DD Editions/Circuits/Tamworth_Uk_Streets.7z
_RealiSimHQ_Extended_Editions,X10DD Editions,Circuits,_RealiSimHQ_Extended_Editions.7z,275.7,Assetto Corsa/Tracks/X10DD Editions/Circuits/_RealiSimHQ_Extended_Editions.7z
adc_klutch_kickers_drifters_paradise,X10DD Editions,Circuits,adc_klutch_kickers_drifters_paradise.7z,103.9,Assetto Corsa/Tracks/X10DD Editions/Circuits/adc_klutch_kickers_drifters_paradise.7z
ak_clotkart,X10DD Editions,Circuits,ak_clotkart.7z,59.7,Assetto Corsa/Tracks/X10DD Editions/Circuits/ak_clotkart.7z
caffine_octane,X10DD Editions,Circuits,caffine_octane.7z,606.4,Assetto Corsa/Tracks/X10DD Editions/Circuits/caffine_octane.7z
drift_track_by_the_old_tree_BHS_Team,X10DD Editions,Circuits,drift_track_by_the_old_tree_BHS_Team.7z,157.5,Assetto Corsa/Tracks/X10DD Editions/Circuits/drift_track_by_the_old_tree_BHS_Team.7z
driftplayground,X10DD Editions,Circuits,driftplayground.7z,118.1,Assetto Corsa/Tracks/X10DD Editions/Circuits/driftplayground.7z
driftplayground_2021,X10DD Editions,Circuits,driftplayground_2021.7z,42.0,Assetto Corsa/Tracks/X10DD Editions/Circuits/driftplayground_2021.7z
ebisu_minami,X10DD Editions,Circuits,ebisu_minami.7z,71.8,Assetto Corsa/Tracks/X10DD Editions/Circuits/ebisu_minami.7z
ebisu_north,X10DD Editions,Circuits,ebisu_north.7z,33.4,Assetto Corsa/Tracks/X10DD Editions/Circuits/ebisu_north.7z
feint_valley,X10DD Editions,Circuits,feint_valley.7z,299.1,Assetto Corsa/Tracks/X10DD Editions/Circuits/feint_valley.7z
fs_driftpark,X10DD Editions,Circuits,fs_driftpark.7z,119.0,Assetto Corsa/Tracks/X10DD Editions/Circuits/fs_driftpark.7z
grange_motor_circuit,X10DD Editions,Circuits,grange_motor_circuit.7z,49.7,Assetto Corsa/Tracks/X10DD Editions/Circuits/grange_motor_circuit.7z
grs_bihoku,X10DD Editions,Circuits,grs_bihoku.zip,69.0,Assetto Corsa/Tracks/X10DD Editions/Circuits/grs_bihoku.zip
jd_the_compound_palm_bay,X10DD Editions,Circuits,jd_the_compound_palm_bay.7z,76.2,Assetto Corsa/Tracks/X10DD Editions/Circuits/jd_the_compound_palm_bay.7z
otm_limerockdrift,X10DD Editions,Circuits,otm_limerockdrift.7z,208.1,Assetto Corsa/Tracks/X10DD Editions/Circuits/otm_limerockdrift.7z
pk_gunma_cycle_sports_center,X10DD Editions,Circuits,pk_gunma_cycle_sports_center.7z,581.0,Assetto Corsa/Tracks/X10DD Editions/Circuits/pk_gunma_cycle_sports_center.7z
pt_bihoku_highland,X10DD Editions,Circuits,pt_bihoku_highland.7z,202.3,Assetto Corsa/Tracks/X10DD Editions/Circuits/pt_bihoku_highland.7z
pt_meihan_c_course,X10DD Editions,Circuits,pt_meihan_c_course.7z,174.4,Assetto Corsa/Tracks/X10DD Editions/Circuits/pt_meihan_c_course.7z
simhq_lz_compound,X10DD Editions,Circuits,simhq_lz_compound.7z,381.2,Assetto Corsa/Tracks/X10DD Editions/Circuits/simhq_lz_compound.7z
sr_shadowvalley,X10DD Editions,Circuits,sr_shadowvalley.7z,45.4,Assetto Corsa/Tracks/X10DD Editions/Circuits/sr_shadowvalley.7z
sunrise_circuit,X10DD Editions,Circuits,sunrise_circuit.7z,79.0,Assetto Corsa/Tracks/X10DD Editions/Circuits/sunrise_circuit.7z
tcl-tougecircuit,X10DD Editions,Circuits,tcl-tougecircuit.7z,182.1,Assetto Corsa/Tracks/X10DD Editions/Circuits/tcl-tougecircuit.7z
tykkimaen_moottorirata_Drift_beta_v0.9_boskep,X10DD Editions,Circuits,tykkimaen_moottorirata_Drift_beta_v0.9_boskep.7z,301.8,Assetto Corsa/Tracks/X10DD Editions/Circuits/tykkimaen_moottorirata_Drift_beta_v0.9_boskep.7z
tykkimaki_kouvola,X10DD Editions,Circuits,tykkimaki_kouvola.7z,156.3,Assetto Corsa/Tracks/X10DD Editions/Circuits/tykkimaki_kouvola.7z
DSC_0.9,X10DD Editions,Competition,DSC_0.9.7z,338.7,Assetto Corsa/Tracks/X10DD Editions/Competition/DSC_0.9.7z
Pods DMEC Plock 2019,X10DD Editions,Competition,Pods DMEC Plock 2019.7z,38.6,Assetto Corsa/Tracks/X10DD Editions/Competition/Pods DMEC Plock 2019.7z
acs_nola_v1.5,X10DD Editions,Competition,acs_nola_v1.5.7z,325.9,Assetto Corsa/Tracks/X10DD Editions/Competition/acs_nola_v1.5.7z
acs_sebring,X10DD Editions,Competition,acs_sebring.7z,402.0,Assetto Corsa/Tracks/X10DD Editions/Competition/acs_sebring.7z
dcgp_dmgp_plock_2019,X10DD Editions,Competition,dcgp_dmgp_plock_2019.7z,63.7,Assetto Corsa/Tracks/X10DD Editions/Competition/dcgp_dmgp_plock_2019.7z
ld2f_englishtown,X10DD Editions,Competition,ld2f_englishtown.7z,186.2,Assetto Corsa/Tracks/X10DD Editions/Competition/ld2f_englishtown.7z
ndcg_interstate_raceway_V2,X10DD Editions,Competition,ndcg_interstate_raceway_V2.7z,62.5,Assetto Corsa/Tracks/X10DD Editions/Competition/ndcg_interstate_raceway_V2.7z
rt_suzuka,X10DD Editions,Competition,rt_suzuka.7z,189.8,Assetto Corsa/Tracks/X10DD Editions/Competition/rt_suzuka.7z
usair_raceway,X10DD Editions,Competition,usair_raceway.7z,70.2,Assetto Corsa/Tracks/X10DD Editions/Competition/usair_raceway.7z
dcgp_s8_motoarena,X10DD Editions,Competition/DCGP,dcgp_s8_motoarena.7z,29.6,Assetto Corsa/Tracks/X10DD Editions/Competition/DCGP/dcgp_s8_motoarena.7z
acs_nola_v1.5,X10DD Editions,Competition/FD,acs_nola_v1.5.7z,579.6,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/acs_nola_v1.5.7z
englishtown_gambler,X10DD Editions,Competition/FD,englishtown_gambler.7z,60.6,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/englishtown_gambler.7z
esda_chang_2023,X10DD Editions,Competition/FD,esda_chang_2023.7z,112.5,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/esda_chang_2023.7z
esda_yas_marina,X10DD Editions,Competition/FD,esda_yas_marina.7z,35.3,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/esda_yas_marina.7z
irwindale_hotpit,X10DD Editions,Competition/FD,irwindale_hotpit.7z,164.3,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/irwindale_hotpit.7z
vdc_bikernieki_2022,X10DD Editions,Competition/FD,vdc_bikernieki_2022.7z,343.2,Assetto Corsa/Tracks/X10DD Editions/Competition/FD/vdc_bikernieki_2022.7z
Long Beach Rd8_RealiSimHQ,X10DD Editions,Formula Drift Tracks,Long Beach Rd8_RealiSimHQ.7z,44.1,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/Long Beach Rd8_RealiSimHQ.7z
dcgp_ferropolis_2023,X10DD Editions,Formula Drift Tracks,dcgp_ferropolis_2023.7z,56.6,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/dcgp_ferropolis_2023.7z
dr_patreon_longbeach,X10DD Editions,Formula Drift Tracks,dr_patreon_longbeach.7z,193.1,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/dr_patreon_longbeach.7z
englishtown_gambler,X10DD Editions,Formula Drift Tracks,englishtown_gambler.7z,61.4,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/englishtown_gambler.7z
englishtown_gambler_esda,X10DD Editions,Formula Drift Tracks,englishtown_gambler_esda.7z,66.3,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/englishtown_gambler_esda.7z
esda_barbagallo_2024,X10DD Editions,Formula Drift Tracks,esda_barbagallo_2024.zip,126.8,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/esda_barbagallo_2024.zip
esda_long_beach,X10DD Editions,Formula Drift Tracks,esda_long_beach.7z,90.6,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/esda_long_beach.7z
ld2f_englishtown_cnds,X10DD Editions,Formula Drift Tracks,ld2f_englishtown_cnds.7z,421.0,Assetto Corsa/Tracks/X10DD Editions/Formula Drift Tracks/ld2f_englishtown_cnds.7z
Gymkhana_Playgroud,X10DD Editions,Road Open World,Gymkhana_Playgroud.7z,562.7,Assetto Corsa/Tracks/X10DD Editions/Road Open World/Gymkhana_Playgroud.7z
RealiSim HQ Layout_nihon_turismo,X10DD Editions,Road Open World,RealiSim HQ Layout_nihon_turismo.7z,224.5,Assetto Corsa/Tracks/X10DD Editions/Road Open World/RealiSim HQ Layout_nihon_turismo.7z
SCS_EMJ_FREE,X10DD Editions,Road Open World,SCS_EMJ_FREE.7z,140.3,Assetto Corsa/Tracks/X10DD Editions/Road Open World/SCS_EMJ_FREE.7z
la_canyons,X10DD Editions,Road Open World,la_canyons.7z,986.0,Assetto Corsa/Tracks/X10DD Editions/Road Open World/la_canyons.7z
nihon_turismo,X10DD Editions,Road Open World,nihon_turismo.7z,2389.6,Assetto Corsa/Tracks/X10DD Editions/Road Open World/nihon_turismo.7z
shuto_revival_project_beta,X10DD Editions,Road Open World,shuto_revival_project_beta.7z,2.4,Assetto Corsa/Tracks/X10DD Editions/Road Open World/shuto_revival_project_beta.7z
soyo_daikoku,X10DD Editions,Road Open World,soyo_daikoku.7z,135.5,Assetto Corsa/Tracks/X10DD Editions/Road Open World/soyo_daikoku.7z
90sgdsp_kazekaeshi_touge,X10DD Editions,Touge,90sgdsp_kazekaeshi_touge.7z,476.3,Assetto Corsa/Tracks/X10DD Editions/Touge/90sgdsp_kazekaeshi_touge.7z
KTWorks_Ogasayama,X10DD Editions,Touge,KTWorks_Ogasayama.7z,175.3,Assetto Corsa/Tracks/X10DD Editions/Touge/KTWorks_Ogasayama.7z
ebisu_touge_course,X10DD Editions,Touge,ebisu_touge_course.7z,39.6,Assetto Corsa/Tracks/X10DD Editions/Touge/ebisu_touge_course.7z
ek_akagi,X10DD Editions,Touge,ek_akagi.7z,261.4,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_akagi.7z
ek_happogahara_x10dd,X10DD Editions,Touge,ek_happogahara_x10dd.7z,326.5,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_happogahara_x10dd.7z
ek_momiji,X10DD Editions,Touge,ek_momiji.7z,166.5,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_momiji.7z
ek_myogi,X10DD Editions,Touge,ek_myogi.7z,247.7,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_myogi.7z
ek_nagao,X10DD Editions,Touge,ek_nagao.7z,433.2,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_nagao.7z
ek_nanamagari,X10DD Editions,Touge,ek_nanamagari.7z,237.0,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_nanamagari.7z
ek_sadamine,X10DD Editions,Touge,ek_sadamine.7z,383.5,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_sadamine.7z
ek_tsukuba_fruits_line,X10DD Editions,Touge,ek_tsukuba_fruits_line.7z,282.1,Assetto Corsa/Tracks/X10DD Editions/Touge/ek_tsukuba_fruits_line.7z
fort_curva,X10DD Editions,Touge,fort_curva.7z,139.2,Assetto Corsa/Tracks/X10DD Editions/Touge/fort_curva.7z
lm_tsuchisaka,X10DD Editions,Touge,lm_tsuchisaka.7z,173.1,Assetto Corsa/Tracks/X10DD Editions/Touge/lm_tsuchisaka.7z
ndp_ikawa,X10DD Editions,Touge,ndp_ikawa.7z,50.9,Assetto Corsa/Tracks/X10DD Editions/Touge/ndp_ikawa.7z
ndp_makime,X10DD Editions,Touge,ndp_makime.7z,72.6,Assetto Corsa/Tracks/X10DD Editions/Touge/ndp_makime.7z
ndp_tsuru_country,X10DD Editions,Touge,ndp_tsuru_country.7z,43.3,Assetto Corsa/Tracks/X10DD Editions/Touge/ndp_tsuru_country.7z
pk_akina,X10DD Editions,Touge,pk_akina.7z,328.8,Assetto Corsa/Tracks/X10DD Editions/Touge/pk_akina.7z
pk_irohazaka,X10DD Editions,Touge,pk_irohazaka.7z,448.0,Assetto Corsa/Tracks/X10DD Editions/Touge/pk_irohazaka.7z
pk_tail_of_the_dragon,X10DD Editions,Touge,pk_tail_of_the_dragon.7z,27.5,Assetto Corsa/Tracks/X10DD Editions/Touge/pk_tail_of_the_dragon.7z
pk_usui_touge,X10DD Editions,Touge,pk_usui_touge.7z,339.0,Assetto Corsa/Tracks/X10DD Editions/Touge/pk_usui_touge.7z
shigemo_line,X10DD Editions,Touge,shigemo_line.7z,148.4,Assetto Corsa/Tracks/X10DD Editions/Touge/shigemo_line.7z
shomaru-rev,X10DD Editions,Touge,shomaru-rev.7z,136.0,Assetto Corsa/Tracks/X10DD Editions/Touge/shomaru-rev.7z
tianmen_mountain,X10DD Editions,Touge,tianmen_mountain.7z,275.0,Assetto Corsa/Tracks/X10DD Editions/Touge/tianmen_mountain.7z
zk_tanemachi_dam,X10DD Editions,Touge,zk_tanemachi_dam.7z,114.0,Assetto Corsa/Tracks/X10DD Editions/Touge/zk_tanemachi_dam.7z
Zen Track Pack 00,Zen Track Packs,,Zen Track Pack 00.7z,45.8,Assetto Corsa/Tracks/Zen Track Packs/Zen Track Pack 00.7z
